Pedido,Cantidad,Transaccion
99829-CSD 1.25 LITROS PET,6,26
CSD 355 ML PET X 24,12,26
CONFITERIA CHUPETE FUNDA,2,27
355 ML PET BELLY WASHER *24,18,27
99000-ENVASE DELI VID 250*24,1,27
000-CHANCLETA DELISODA 24 UN,1,27
ENVASE PURE WATER 20000 MLx1,4,27
99000-ENVASE DELI VID 250*24,1,28
99829-CSD 1.25 LITROS PET,5,28
10- 750 ML PET,12,28
20000 ML PET AGUA SIN GAS,3,28
CSD 355 ML PET X 24,15,28
ENVASE PURE WATER 20000 MLx1,3,28
20000 ML PET AGUA SIN GAS,3,29
99000-GUITIG PET 3000*6,1,29
CSD 2500 ML PET,3,29
07- 2 LITROS PET,6,29
20000 ML PET AGUA SIN GAS,4,29
99000-GUITIG PET 1500*12,1,29
99000-TESALIA BOTELLON,2,29
99829-CSD 1.25 LITROS PET,6,29
20000 ML PET AGUA SIN GAS,4,30
CSD 355 ML PET X 24,19,30
000-CHANCLETA DELISODA 24 UN,2,30
99000-ENVASE DELI VID 250*24,2,30
ENVASE PURE WATER 20000 MLx1,4,30
99000-TESALIA BOTELLON,2,31
99829-CSD 1.25 LITROS PET,6,31
68- GATORADE 24 PACK,12,31
1000 ML Squiz PET*12,1,31
68- GATORADE 24 PACK,12,31
99000-GUITIG PET 500*24,12,31
600 ML PET ENERGIZANTE *24,12,31
99000-GUITIG PET 1500*12,6,31
ENERGIZANTE 330ML PET X 24,6,31
99000-GUITIG PET 1500*12,1,31
CSD 355 ML PET X 24,60,31
68- GATORADE 24 PACK,6,31
99829-CSD 1.25 LITROS PET,6,32
500 ML PET BELLY WASHER *24,8,32
20000 ML PET AGUA SIN GAS,30,32
99000-TESALIA BOTELLON,10,32
99000-TESALIA BOTELLON,10,33
20000 ML PET AGUA SIN GAS,30,33
000-CHANCLETA DELISODA 24 UN,10,33
99000-ENVASE DELI VID 250*24,10,33
ENVASE PURE WATER 20000 MLx1,30,33
99000-ENVASE DELI VID 250*24,10,34
20000 ML PET AGUA SIN GAS,40,34
ENERGIZANTE 330ML PET X 24,1,34
ENERGIZANTE 330ML PET X 24,12,34
600 ML PET ENERGIZANTE *24,3,34
ENERGIZANTE 330ML PET X 24,1,34
GUITIG 300 ML + 18% BONI PET X 24,1,34
3780 ML PET AGUA PURA,4,34
99000-TESALIA BOTELLON,5,34
20000 ML PET AGUA SIN GAS,10,34
99829-CSD 1.25 LITROS PET,6,34
ENERGIZANTE 330ML PET X 24,12,34
TEMPORAL1597,1,34
1000 ML Squiz PET*12,6,34
ENERGIZANTE 330ML PET X 24,15,35
20000 ML PET AGUA SIN GAS,47,35
GALLETA SAL/DULCE TACO,5,35
GALLETA RECUB DISPLAY/ESTUCHE,1,35
1000 ML Squiz PET*12,6,36
3780 ML PET AGUA PURA,4,36
600 ML PET ENERGIZANTE *24,24,36
20000 ML PET AGUA SIN GAS,28,37
000-CHANCLETA DELISODA 24 UN,5,37
99000-ENVASE DELI VID 250*24,5,37
000-CHANCLETA DELISODA 24 UN,5,37
99000-TESALIA BOTELLON,5,37
20000 ML PET AGUA SIN GAS,15,37
ENERGIZANTE 330ML PET X 24,15,38
10- 750 ML PET,3,38
99000-GATORADE VID 473*24,12,38
99000-GUITIG PET 1500*12,6,38
99000-TESALIA BOTELLON,10,38
20000 ML PET AGUA SIN GAS,30,38
99000-TESALIA BOTELLON,6,39
500 ML PET BELLY WASHER *24,6,39
TEMPORAL1597,4,39
GUITIG 300 ML + 18% BONI PET X 24,1,39
6000 ML PET AGUA SIN GAS * 4,4,39
99829-CSD 1.25 LITROS PET,3,39
99829-CSD 1.25 LITROS PET,3,39
20000 ML PET AGUA SIN GAS,20,39
3780 ML PET AGUA PURA,4,39
500 ML PET BELLY WASHER *24,6,39
ENERGIZANTE 330ML PET X 24,15,40
20000 ML PET AGUA SIN GAS,42,40
GALLETA SAL/DULCE TACO,8,40
MODIF COCOA FUNDA,8,40
ENERGIZANTE 330ML PET X 24,16,41
6000 ML PET AGUA SIN GAS * 4,4,41
3780 ML PET AGUA PURA,4,41
MODIF COCOA FUNDA,8,41
ENVASE PURE WATER 20000 MLx1,10,41
ENVASE PURE WATER 20000 MLx1,10,42
000-CHANCLETA DELISODA 24 UN,6,42
ENVASE PURE WATER 20000 MLx1,20,42
99000-ENVASE DELI VID 250*24,6,42
99000-ENVASE DELI VID 250*24,6,43
ENVASE PURE WATER 20000 MLx1,26,43
20000 ML PET AGUA SIN GAS,10,43
99000-TESALIA BOTELLON,15,43
99000-TESALIA BOTELLON,15,44
20000 ML PET AGUA SIN GAS,10,44
99000-TESALIA BOTELLON,5,44
99000-GATORADE VID 473*24,1,44
99000-GATORADE VID 473*24,1,44
99000-GATORADE VID 473*24,12,44
20000 ML PET AGUA SIN GAS,10,44
GUITIG 300 ML + 18% BONI PET X 24,12,44
TEMPORAL1597,1,44
99000-ENVASE DELI VID 250*24,7,44
20000 ML PET AGUA SIN GAS,35,44
GALLETA RECUB DISPLAY/ESTUCHE,1,44
GALLETA RECUB DISPLAY/ESTUCHE,1,45
99000-ENVASE DELI VID 250*24,4,45
000-CHANCLETA DELISODA 24 UN,4,45
ENVASE PURE WATER 20000 MLx1,20,45
CSD 2500 ML PET,4,46
ENVASE PURE WATER 20000 MLx1,24,46
99000-TESALIA BOTELLON,5,46
20000 ML PET AGUA SIN GAS,20,46
99000-TESALIA BOTELLON,5,47
20000 ML PET AGUA SIN GAS,20,47
CSD 2500 ML PET,3,47
20000 ML PET AGUA SIN GAS,5,47
99000-TESALIA BOTELLON,5,47
99000-TESALIA BOTELLON,5,48
99000-ENVASE DELI VID 250*24,8,48
MODIF COCOA FUNDA,4,48
GALLETA RECUB DISPLAY/ESTUCHE,1,48
MODIF COCOA FUNDA,4,48
MODIF COCOA FUNDA,9,49
ENVASE PURE WATER 20000 MLx1,20,49
000-CHANCLETA DELISODA 24 UN,5,49
99000-ENVASE DELI VID 250*24,5,49
000-CHANCLETA DELISODA 24 UN,5,50
ENVASE PURE WATER 20000 MLx1,25,50
000-CHANCLETA DELISODA 24 UN,5,50
ENVASE PURE WATER 20000 MLx1,5,50
99000-ENVASE DELI VID 250*24,5,50
ENVASE PURE WATER 20000 MLx1,5,51
99000-ENVASE DELI VID 250*24,10,51
20000 ML PET AGUA SIN GAS,10,51
CSD 2500 ML PET,3,51
99000-DELI OW TWIST 250*24,12,51
GUITIG 300 ML + 18% BONI PET X 24,12,51
ENVASE PURE WATER 20000 MLx1,37,52
GUITIG 300 ML + 18% BONI PET X 24,12,52
99000-GUITIG PET 500*24,12,52
20000 ML PET AGUA SIN GAS,10,52
99000-GATORADE VID 473*24,12,52
99000-TESALIA BOTELLON,5,52
99000-TESALIA BOTELLON,5,53
ENVASE PURE WATER 20000 MLx1,15,53
000-CHANCLETA DELISODA 24 UN,15,53
99000-ENVASE DELI VID 250*24,15,53
99000-ENVASE DELI VID 250*24,15,54
20000 ML PET AGUA SIN GAS,30,54
ENERGIZANTE 330ML PET X 24,1,54
20000 ML PET AGUA SIN GAS,10,54
99000-TESALIA BOTELLON,20,54
600 ML PET ENERGIZANTE *24,2,54
